dox	time	image	cell	c_area	n_area	Fli1	Cdh5	Flk1	Etv2	Pdgfra	Snail1	FP	n_Fli1	n_Cdh5	n_Flk1	n_Etv2	n_Pdgfra	n_Snail1	n_FP	p_Etv2
60	20	6	2	19	51084	16263	1.95756009709498e-05	1.95756009709498e-05	7.83024038837992e-05	0.00644037271944249	0	0.000215331610680448	0	0	0	0	1	0	0	0	0.0418964520691139
61	20	6	2	20	44622	15570	0.000156873291201649	8.96418806866568e-05	0.00188247949441979	0.000986060687553225	0	2.24104701716642e-05	0	0	0	1	0	0	0	0	0.0404426461143224
62	20	6	2	21	46545	19876	0	0.000386722526587174	2.14845848103985e-05	0.00193361263293587	0	0.000236330432914384	0	0	1	0	0	0	0	0	0.0435480478969612
63	20	6	2	22	24711	8867	0.000161871231435393	0.000161871231435393	0.00246853627938975	0.00748654445388693	4.04678078588483e-05	0.00113309862004775	0	0	0	0	0	0	0	0	0.0447129807150107
64	20	6	2	23	15836	6498	0.000189441778226825	6.31472594089417e-05	0.00208385956049507	0.0103561505430664	6.31472594089417e-05	0.00126294518817883	0.000126294518817883	0	0	0	1	0	0	0	0.0505106186518929
65	20	6	2	24	31945	12918	0.000250430427296917	0.000219126623884802	0.000563468461418062	0.00610424166536234	0	9.39114102363437e-05	3.13038034121146e-05	0	0	0	1	0	0	0	0.0438774578108066
66	20	6	2	25	26992	11662	0.000259336099585062	0	0.00285269709543568	0.00589063426200356	3.70480142264375e-05	0.000333432128037937	3.70480142264375e-05	0	0	1	1	0	0	0	0.0487825415880638
67	20	6	2	26	48728	18687	2.05220817599737e-05	0	0.000964537842718765	0.000348875389919553	0.000246264981119685	0.000143654572319816	0	0	0	0	0	0	0	0	0.0405631187456521
68	20	6	2	27	20027	11049	0.000798921456034354	0.000149797773006441	0.00354521396115244	0	0	0	0	0	0	2	0	0	0	0	0.0514392252692551
69	20	6	2	28	18425	9707	0	0.000108548168249661	0.000814111261872456	0.000108548168249661	0	0.00108548168249661	0	0	0	0	0	0	0	0	0.0434770783970331
70	20	6	2	29	36659	19379	0.00013639215472326	0.00013639215472326	0.00013639215472326	0.00676505087427371	0.00158214899478982	0.000818352928339562	2.72784309446521e-05	0	0	0	1	1	1	0	0.0427017905980701
71	20	6	2	30	31808	15418	6.28772635814889e-05	0.000157193158953722	0.000188631790744467	0.00323817907444668	0	0.000314386317907445	3.14386317907445e-05	0	0	0	0	0	0	0	0.0470762096251135
72	20	6	2	31	39807	16671	0	7.53636295123973e-05	2.51212098374658e-05	0.00713442359384028	0	0.000226090888537192	0	0	0	0	2	0	0	0	0.0459253194169516
73	20	6	2	32	9925	7419	0	0.000403022670025189	0	0.000100755667506297	0	0.00100755667506297	0	0	0	0	0	0	0	0	0.0434461517724761
74	20	6	2	33	30090	10882	0.000199401794616152	0	0.000598205383848455	0.00787637088733799	0.000564971751412429	0.000232635427052177	3.32336324360253e-05	0	0	0	2	0	0	0	0.0427172394780371
75	20	6	2	34	29372	14510	0	0	0.000102138090698625	0.0156952199373553	0	0.000306414272095874	0	0	0	0	1	0	0	0	0.0612620951068229
76	20	6	2	35	17592	8847	0	0.00011368804001819	0	0.0132446566621191	0	0.00034106412005457	0	0	0	0	1	0	0	0	0.0575808748728383
77	20	6	2	36	16004	9805	0.00324918770307423	6.24843789052737e-05	0.000624843789052737	0.0126843289177706	0.00131217195701075	0.00162459385153712	0.000562359410147463	2	0	0	1	0	0	0	0.079430086690464
78	20	6	2	37	12135	9435	0.000741656365883807	0.000329625051503914	0.00725175113308611	0.0133498145859085	0.00206015657189946	0.00296662546353523	0.000247218788627936	0	0	0	0	0	0	0	0.0750210916799152
79	20	6	2	38	17941	11080	0	0.000167214759489438	5.57382531631459e-05	0.00546234880998829	0	0.000167214759489438	0	0	0	0	0	0	0	0	0.0493639891696751
80	20	6	2	39	43012	19521	0	2.32493257695527e-05	0	0.000116246628847763	0	0.000278991909234632	0	0	0	0	0	0	0	0	0.0402841042979356
